Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
EK,Lukksepa tooriistade ostmine,79240
EE,Inventartellingute ja lavatsite monteerimine. kasutusrent ja demonteerimine ,79210
NJ,Balti elektrijaama ploki nr 11 �andoorisolme renoveerimine,78929
ER,Terastoodete ostmine,78403
EK,SRu tehnika varuosade ostmine,78320
NJ,Elektrilise auruulekuumendi ostmine,78142
NJ,Eesti Elektrijaama kaugkutteseadme tehniline uurimine ,78142
JV,Vorumaa. Klaani kinnistu Trigina. LP 19.20 el. liitumine. Meremae vald. LL2405.,77956
EK,Vagunite rattapaaride remont,77875
NJ,Projekt EE-18.15 Enefit. Poolkoksigaasi torustik MOP=0.4 bar. Siibrite paigaldamine ,77690
EE,Kahe soiduki taisteenusliising 21 kuuks,77629
EE,Eesti Energia AS kontserni soidukite haldusteenuse ostmine,77216
EE,Avariilised puhastustood toostusliku alpinismi meetodil,76896
EE,Broker Interface SaaS system (off premise cloud solution),76896
NJ,Balti Elektrijaama keemilise veepuhastuse happemahutite nr 1 ja nr 5 keevisliidete avariiremont,76896
EK,Kompressorite. posrtatiivse pealesulatus- ja sisetreipingi ning magnetpuurpingi ostmine,76611
NJ,Eesti Elektrijaama energiaploki nr 4 DeSOx dosaatorite korpuste asendamine,76540
ER,Pronksvalutoodete ostmine,76526
JV,Tallinn. Pirita linnaosa. Kose poik. Kose tee 58 liitumine elektrivorguga (LP4730),76242
ER,Teraste ostmine.,76232
NJ,Kontroll- ja mooteseadmete vorgu paigaldamine Eesti Elektrijaama tuhavalja alumise settetiigi tammile,76184
NJ,Enefit 280 reaktori valjundtihendi remont,75990
ER,Terastoodete ostmine,75474
NJ,Balti elektrijaama energiaploki nr 11 ja Eesti elektrijaama energiaploki nr 8 generaatorite moodul- elegaaslulitite susteemi diagnostika,75472
JV,Harjumaal Saue vallas Tallinn-Parnu-Ikla tee elektrooniliste liiklusmarkide liitumisuhenduse ehitustood LP3675.LP3676,75467
NJ,Eesti elektrijaama tuhavaljaku �ahtulevoolude nr 1 ja 2 treppide asendamine ,75380
EE,Autodesk tarkvara tootetoe pikendamine,75342
NJ,Kompressorite pump L RB 155/5P-VSM (Robuschi) ostmine,75027
EE,IT-seadmete hooldusteenuse tellimine,74760
NJ,Enefit280 utilisaatorkatla 3?? kahekaigulise tigukonveieri asendamine,74582
NJ,Eesti elektrijaama pohikorpuse tuletorje veetorustiku renoveerimine,74576
ER,Terastoodete ostmine,74455
NJ,Turbiinioli TP-22S ostmine,74404
ER,Roostevaba- ja S355J2 Teraste ostmine,74322
NJ,Kruvitigu varuosade valmistamine,74048
EE,Keevkihtkatla tarbeks koldeliiva ostmine,74048
EE,Estonia kaevanduse maaaluse mobiilsidevorgu ehitus,73997
JV,Harju maakond. Tallinn. Luusi tn 4 ja Madalmaa tn 1 elektrivarustus (LP5010),73991
JV,Tartu. Tahe t 108 el. ehitustood. LP5345. IL5513.,73889
EK,Abrasiivmaterjalide ja -tarvikute ostmine,73808
NJ,Proovivotturi ostmine Eesti Elektrijaama konveieri K-3? jaoks ,73674
EK,Eepurusti DU-2 rootori ostmine,73514
EK,Toonsagedusside rekonstrueerimine,73481
EE,Iru elektrijaama tosteseadmete hooldus- ja remonttood,73478
EE,umarpuidu hakkimise ja teisaldamise teenuse osutamine,73069
ER,Ventilatsioonitoode teostamine,73060
ER,Teraslehtede S355J2+N ostmine,72791
EK,Puittoodete ostmine,72707
ER,Terastoodete ostmine,72701
EK,Kinnitusvahendite ostmine,72674
NJ,Eesti Elektrijaama energiaploki nr 5 katelde vahelise vahelae renoveerimine korgusmargil +9.6. teljel 24�29. rea C ja D vahel,72505
JV,Tartumaa. Kevini ja Luha piirkonna el. liitumine. ulenurme vald. LL2284. IL3433.,72499
TO,Gaasitorustiku ehitamine liitumispunktist kuni tarbimiskohtadeni,72268
TO,Iru elektrijaama mootmiskomplektide ja jahutussusteemide aastahooldused ja remonttood ,72095
EK,Puhatu kaitseala raba seisundi ja taimestiku seireteenuse ostmine ,71912
JV,Harjumaa. Saku vald. uksnurme kula. Helbe tee 5. 19. 20. 22. 34 liitumine (LP5626. LP5928. VT1012. LP5309),71823
EK,Elektrimootorite ostmine,71200
EE,Rahvusvaheline kullerteenus Eesti Energia AS-i ja tema tutarettevotjate tarbeks ,71200
EE,Rahvusvaheline kullerteenus Eesti Energia AS-i ja tema tutarettevotjate tarbeks ,71200
EK,Diiselgeneraatorite ostmine,71182
EE,Checkpoint toodete tehnilise toe hange,71164
NJ,Eesti elektrijaama OVK-hoone kabineti nr 211 rekonstrueerimine vastavalt tooprojektile nr 183225,71022
EE,Tahkete osakeste mootesusteemi ning kalibreerimisgaaside segaja/lahjendaja ost ,71022
JV,Parnumaa Audru vald Papsaare kula Paikesemetsa eramu liitumisuhenduse ehitustood LP4300,70915
ER,Raamlepingute solmimine isikukaitsevahendite ostmiseks (teine etapp),70866
EE,Tolpanvaara wind park road design,70844
NJ,Purchase of shredded tyres (<12mm) and transport service,70488
EK,Konveierilindi remondimaterjalide ostmine,70367
EE,Microsoft Digital Advisory Program,70301
ER,Terase S355J2 ostmine,70298
EK,Estonia kaevanduse rikastusvabriku hiivatorustiku remont ,69847
ER,Teraslehtede ja umarteraste ostmine.,69761
EE,Lubjakivi killustiku sobivuse maaramiseks puurimis ja kaevetoode teostamine koos maaratud proovide votmise ja penetratsiooni aruande ning geotehniliste uuringute koostamisega,69543
JV,Harjumaa. Saue vald. aasmae kula. ridaelamu elektrivarustus (LP5220. LP5221),69441
EK,Kompressorite hooldusteenuse ostmine,69420
EE,Keila-Joa ja Linnamae HEJ veemajanduse ja territooriumi korrashoid,69420
NJ,Sagedusmuundurite remont ja tehniline hooldamine ,69270
NJ,Eesti elektrijaama labivootunnelis toorveetorude nr.1 ja nr.2 asendamine,69260
JV,Podra tee KP kaablite umbertostmine (TP0569) ja Juri-Lehmja 10 kV fiidri ettevalmistus 20 kV uleminekuks (IP2986),69206
EK,Toestiku raamide betoneerimine geoloogiliste rikete korvaldamiseks 17 konveieristrekil ,69153
ER,Electrical components for conveyors. SANDVIK,69147
ER,Terastoodete ostmine,69143
TO,Iru elektrijaama komplektalajaama 6.3/0.4 kV paigaldus koos 10 kV uhenduse loomisega,69100
ER,Hot splicing of conveyor belts,69028
NJ,Elektrifiltrite varuosade ostmine plokile nr.8,68877
EK,Estonia kaevanduse peavastuvotupunkri raudbetoonseinte remont ,68708
EK,Ankrukettide ostmine,68672
NJ,Aatomabsorbtsiooni spektromeetri ostmine,68646
NJ,Balti Elektrijaama ploki nr 11 nelja Sempell hudrosilindri toostuslik remont koos tarnega tootjatehasesse ja tagasi,68370
NJ,EEJ pulbijuhtmete tihendkompensaatorite renoveerimine,68252
EK,Aheraine kinnistu motopargi ehituse omanikujarelevalve teostamine,68210
JV,Tallinn. Pirita tee 78 memoriaali elektrivarustus (LP4696),67871
NJ,Eesti elektrijaama bagerpumbajaamade nr 1. 2. 3. 4 suvendite seinte. postide ja katete raudbetoonpindade remont,67373
NJ,Voll koos hammasrattaga valmistamine,67373
NJ,Tihendus-/labipuhkegaasiga (N2) uute lauptihendite juurutamine paigaldiste 1. 2 Enefit-140 uhel gaasipuhuril,67106
NJ,Allavajumise markide ja piesomeetriliste puurkaevude vaatlusvorgu taastamine Balti elektrijaama tuhavaljal,67106
TO,uhe mootesusteemi projekteerimine. ostmine ja Iru elektrijaama korstnas paikneva vastu valja vahetamine,66928
EE,Tarkvara litsentside ning tootetoe ostmine (Wonderware),66887
NJ,Pumbade varuosade WARMAN ostmine ,66750
EK,Estonia kaevanduse tuulutus�urfi nr. 3122 rajamine,66591
EE,JIRA ja JIRA Service Desk konsultatsioon ja seadistamine,66572
ER,Terastoodete ostmine,66535
JV,Jogevamaa. Jogeva vald. Palamuse alevik. Kostri allee 3 kinnistu peakaitsme suurendamine (LP5112. IL5487),66301
EK,Lohketoode abimaterjalide ostmine,66216
ER,Elektrikomponentide ostmine,66100
EK,Raudtee side- ja turvanguseadmete ning elektriliste ajamite ostmine,65994
EK,Narva karjaaris katuste remonditeenuse ostmine,65860
NJ,JBFJ 500-6 tuupi elektrimootori ostmine,65593
JV,Tara. Taraaare ja Aiaaare DP ala 5. ja 6. etapi elektriliitumine Torvandis (LP4539),65511
ER,Raamlepingute solmimine laagrite ostmiseks,65506
ER,Terastoodete ostmine,65203
NJ,Tsukloni-separaatori varuosade ostmine,64892
NJ,Eesti elektrijaama biofiltreerimisjaama gaasiga kloreerimisseadmete hooldus ja remont ,64847
EK,Kaevurivalgustite ja nende laadimisseadmete ostmine,64370
EK,Metalliloikeinstrumentide ostmine,64169
NJ,Kontrollsusteemides kasutatavate radioaktiivsete kiirgusallikate tehniline hooldus,64080
EE,Hudrotostuki hooldus- ja remonttood ,64080
EE,Aulepa tuulikute labade inspekteerimisteenus/Turbine Blade Inspection and Repair Services for Aulepa wind park,64080
JV,Tartu maakond. Elva. Valga mnt 7a tootmishoone elektrivarustus (LL3036. IL5001),64047
JV,Parnu linn. Tui 6 elektrivorgu umberehitus (TP0597),64043
EE,Enefit Energiatootmine AS territooriumilt jaatmete aravedu,63959
NJ,Eesti elektrijaama ploki nr 8 suruohu kruvikompressorite Atlas Copco tehnohooldus ja remont,63806
EK,Estonia kaevanduse tehnoloogilise tee ja platside asfaltkatte remonditeenuse ostmine,63642
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,63546
JV,Koru (Saue) arendusala 10kV ohuliini asendamine maakaabliga (TP0442),63506
NJ,Keskpinge mootori ostmine. 876kW 6kV 1488 p/min,63190
JV,Tartu linn Roomu tee 10. 10g. 10h eramute liitumisuhenduse ehitustood LP5387,62926
EE,Rabu transpordi ja kaitlemise teenuse osutamine,62879
JV,"Harjumaa. Tallinn. Rabaveere tanav. Rabaveere tn 4-18. 20. Nomme LO. Rabaveere elamurajooni elektrienergiaga varustamine, Rabaveere tn 5. Rabaveere tanav. Kalda tn 3. Nomme LO. Kalda tn 3 liitumiskilbi asukoha muutmine (LP5496/LP5781)",62816
TO,Paikeseparkide projekteerimistood,62745
ER,Rahvusvaheliste standardsete autovedude hankekonkurss raamlepingute solmimiseks 2016 ,62478
EE,Soiduki taisteenusliisingu hange (EEAS),62416
ER,Terastoodete ostmine,62410
NJ,Sulgemisarmatuuri Bopp&Reuther varuosade ostmine,62398
EE,Estonia pumphudroelektrijaama eskiisprojekt / Estonia pumped-storage hydroelectric power plant conceptual design ,62300
ER,Kraanateenuse osutamine,62300
EE,Tuulepargi elektripaigaldise projekteerimine,62300
ER,Teraste ostmine.,62253
ER,Terasvalutoodete ostmine,62220
NJ,Eesti Elektrijaama energiaploki nr 6 katelde vahelise vahelae renoveerimine korgusmargil +9.6. teljel 29�34. rea C ja D vahel ,62175
NJ,Eesti elektrijaama energiaploki nr. 3 ja 6 DeSOx dosaatorite korpuste asendamine,62127
NJ,Eesti Elektrijaama kaivituskatlamaja rajamise tehnilise dokumentatsiooni valjatootamine,62122
NJ,Balti Elektrijaama tuhavalja alumise settetiigi tammi kontrollmooteseadmete paigaldamine,62108
NJ,Eesti elektrijaamas pulbijuhtmete tihendkompensaatorite renoveerimine,62083
JV,Tallinn. Astangu 18/20 / Jalami tn 1 elektrivarustus (LP4340),61963
JV,Rapla. Kooli t 8. koolimaja el. ehitustood. LP4478. TP0535.,61945
ER,Terastoodete ostmine,61859
EE,Tuulepargi tervikliku elektripaigaldise eelprojekteerimine,61837
NJ,Filtrielementide ostmine,61797
EE,3000VA. 700VA ja 350VA UPS-de tarne,61656
JV,Tartu maakond. Tartu linn. Tehnika tn 26 kinnistu liitumine valiselektrivorguga (LP5470/LP5592),61636
EK,Sammuva ekskavaatori E�-10/70 roobas- ja rullpoorderingide ostmine,61506
NJ,Enefit280 reaktori 3??? tihendi olijahutite rekonstrueerimine,61410
EK,Allmaa platvormhaagiste ostmine,61268
EK,Vasarpurustite valuterasest detailide ostmine,61143
EE,Eesti Energia AS hange energiasaastu teenuste koostoopartneri leidmiseks,61106
EK,Estonia kaevanduse tehnoloogilise kompleksi valisvalgustuse renoveerimine,61054
NJ,aravoolurenni valmistamine,60894
NJ,Eesti elektrijaama peahoone korpuse katlajaoskonna ja umberpuistetornide Nr 1 ja Nr 2 fassaadiosa seinapaneelide vuukide terviklikkuse taastamine,60698
NJ,Sulgemisarmatuuri ostmine,60648
ER,Kuivtrafod.Ostmine,60622
NJ,Balti Elektrijaama korstna nr 6 ja Eesti Elektrijaama korstna nr 2 monitooringususteemi koetavate impulssliinide hange ja paigaldamine,60577
NJ,Tooroivaste ostmine,60567
JV,Hiiumaa vald Kassari kula Saviaugu eramu liitumisuhenduse ja investeeringutood LP5452.IS3074,60508
JV,Tartu. Turu t Tasku keskuse esine. jalgrattaparkla el. liitumine mp. LP5145.,60374
EK,uldkasutatavate terastrosside ostmine,60161
NJ,Pumbade varuosade PE 380-185/200 ostmine,60009
EE,IT arendusprojekti �Uus Turumudel� tarkvara arenduse teenuse ost,59808
EK,Tuulutustorude ostmine,59754
ER,Raamlepingute solmimine keemiakaupade ostmiseks ,59496
JV,Vorumaa Antsla vald Posti tn 12 arihoone liitumisuhenduse ehitustood LP4660,59418
NJ,Enefit-280 detailide valmistamine,59381
ER,Elektrikilpide ostmine ,59327
ER,BEJ toostuspargi nr 3 elektrivarustuse voimsuse suurendamine,59158
NJ,Kvartsliiva fr.0.1 � 0.6 mm ostmine,58954
EE,Soiduki taisteenusliising (Enefit Energiatootmine AS),58948
NJ,Eesti Elektrijaama prooviotuseadmete asendamine,58740
TO,Konkurss hakkepuidu ostmiseks Valka koostootmisjaama,58704
NJ,Eesti Elektrijaama peahoone turbiinijaoskonna nr 3 soojussolme renoveerimine ,58704
EK,Autoremonditookoja hoone katuse rekonstrueerimine ja ventilatsiooni asendus ,58510
EK,Kaabitskettide ostmine,58384
EK,Raudtee pealisehitusmaterjalide ostmine,58304
NJ,Balti elektrijaama ja Eesti elektrijaama tuhavaljade hudrogeoloogiline seire ,58270
JV,Parnumaa. Staadioni 2 el. liitumine. Paikuse alev. LP5113.,58199
NJ,Eesti elektrijaama ploki nr 3 katelde temperatuurikontrolli asendamine,58087
JV,Tallinn. Peterburi tee 77. el. liitumine mp. LP4227.,58014
EK,Musta depoo katuse remonditeenuse ostmine,57806
NJ,Eesti elektrijaama 8 ploki algtaseme testid,57717
JV,Harju maakond. Saue vald. Koidu kula. Vana-Kandle elamurajooni liitumine elektrivorguga (LP4955),57381
JV,Tartumaa. Nommepollu kinnistu el. liitumine mp. Kastre vald. LP5202.,57330
NT,Elekterkutte ja isolatsiooni paigaldus ??? torustikule. Eesti Energia olitoostus AS   ,57174
NJ,Eesti elektrijaama tuhatorude estakaadi tugede nr 121 ja 127 rekonstrueerimine,57069
EE,Jaatmete (kood 19 12 12) koostise maaramise tellimine,56962
NJ,Eesti Elektrijaama tuhakuuri katuseplaatide seisundi uurimine ning katuse kandevoime taastamise tooprojekti koostamine,56960
EE,VMware litsentside tugiteenuse ost ,56866
NJ,Eesti elektrijaama tuhavaljaku vee ulevoolu vertikaalsete �ahtide otsaloikudele nr 1. 2. 3. 4 siibrite valmistamine ja paigaldamine,56711
EK,Raudtee side-ja turvanguseadmete ning elektriliste ajamite ostmine,56590
EK,Gaasileegiseadmete ja keevitustarvikute ostmine,56463
ER,Terastoodete ostmine,56371
EE,Snow tarkvarahalduse tarkvara litsentside ja teenuse ostmine,56250
NJ,Tavajaatmete vastuvotmine,56200
JV,Harjumaa. Oja Pillapalu kula Anija vald. el. ehitustood. LP5019.,56190
ER,Terastoodete ostmine,55824
JV,Tartumaa. Tila kula. Korve tn 19 elamu elektrivarustus (LP5837),55770
EE,Taksoteenuse ost Tallinnas,55429
NJ,Keemeilise reagendi KK Amina 8026 ostmine,55376
EK,Sepiste ostmine,55358
JV,Harjumaa. Viinamae tee Lohe kinnistu el.liitumine mp. Rae vald. LP4679.,55341
ER,Terastoodete ostmine,55284
EK,Raadiosaatjate ja raadiosidevahendite tarvikute ostmine,55243
NJ,Kvartsliiva fr.0.1 � 0.6 mm ostmine,55216
ER,Jaatmete veoteenuse ostmine,55180
EE,Iru Elektrijaama Pirita pumpla ja kanalisatsiooni pumpla viimistlus- ja remonttood,55055
NJ,Eesti Elektrijaama energiaploki nr 6 DeSOx-seadme reaktorite alumiste polvede kruvikonveierite RK-P 400 � 3200 tigude taastamine ,55038
EK,�Alutaguse� alajaama keskpingelahtrite renoveerimine,54792
JV,Tartu. Riia tanav 142. el. ehitus. TP0575.,54689
JV,I-Virumaa. Varava Kuningakula el. ehitus. Illuka vald. LL3061.,54465
JV,Tartu maakond. Tartu linn. Era tn 3/22b. Riia tn 20b. 22a. 20/20a elektrivarustus (LP4490. IL5053),54271
EE,Soiduki taisteenusliising hange,54176
NJ,Roostevaba toodete ostmine ,54113
ER,Terastoodete ostmine,53803
NJ,Tookinnaste ostmine,53577
JV,Tallinn Priisle tee 2 korterelamu elektrivarustus LP2544,53558
NJ,Spare parts for hydraulic couplings UCD 1500-2 and UCD 1000-1 (TWIN DISC),53472
EK,6 kV lulituspunktide ja nende varuosade ostmine,53400
EE,Eesti keeleoppe kursus,53400
EK,Ratasekskavaatori Huddig 1260 hooldus- ja remonditeenuse ning varuosade ostmine,53400
EK,Sukel-  ja liivapumpade remonditeenuse ostmine,53400
EK,Transpordivahendite rehvide hooldus- ja remonditoode teenuse ostmine,53400
EE,ACS 1000 seeria sagedusmuundurite hooldus- ja remonttood,53400
EE,Iru elektrijaama juhtimissusteemi metsoDNA tehniline tugiteenus,53400
EE,Iru elektrijaama juhtimissusteemi SIMATIC  PLC tehniline tugiteenus,53400
ER,AS-is Enefit Solutions tekkivate ohtlike jaatmete kaitlemine,53400
ER,Betoonporanda umberehitus passivatsiooni ruumis ,53400
EK,Omanikujarelvalve raudtee dispet�erjuhtimise rekonstrueerimisel,53382
NJ,Sulgemisarmatuuri ja varuosade ostmine,53351
JV, Poltsamaa tervise- ja suusaraja el. liitumine MP. Poltsamaa vald. LP4703,53229
NT,Toode labiviimine vastavalt Enefit140 utmisjaoskonna evakuatsioonivalgustuse tooprojektile,53133
JV,Ida-Virumaa. Johvi vald. Kotinuka kula. Jordi tee 3 kinnistu liitumine elektrivorguga (LP5320/LP5296),53132
ER,Terastoodete ostmine,53106
EK,Toruarmatuuri  ostmine,53062
ER,Roostevabade piirete valmistamine,53058
EK,Rikastusvabriku hiivapumpla nr 4 elektriseadmestiku renoveerimisteenuse ostmine,52976
NJ,Roostevabade toodete ostmine ,52934
NJ,Balti elektrijaama juhtimise peakilbi uleviimise tehnilis-majandusliku pohjenduse valjatootamine,52866
EK,Allmaa elektrikilpide ostmine,52854
EK,Toostustarvikute ostmine,52848
NJ,Eesti Elektrijaama peahoone katlajaoskonna vahelagede konstruktsiooni tehnilise seisundi uurimine (audit). tehnilise lahenduse koostamine ja kahjustuste remont korgusmargil 9.60 m. teljel 3�13. reas ?- ? ,52845
EK,Rikastusvabriku soelurite aravooluvannide valmistamine ja paigaldus,52845
JV,Kastani tanav. Pihlaka tanav. Pihlaka poik. kinnistute liitumine elektrivorguga. Kose alevik. Kose vald. Harjumaa (LP4834),52731
EE,Kahe HCI (Hyper Converged Infrastructure) klastri taislahenduse hange,52571
NJ,Eesti Elektrijaama ATS susteemide kontseptsiooni valja tootamine ja pohiprojektide koostamine,52510
NJ,Balti Elektrijaama toostusala nr 3 valvatava perimeetri korraldus ,52510
EK,Infotehnoloogilise vorgu seadmete ja materjalide ostmine,52492
EK,Estonia kaevanduse tuulutus�urfi nr.191 rajamine ,52471
EK,Torustike remonditeenuse ostmine,52217
NJ,Laagrite ostmine,52093
NJ,Balti Elektrijaama segusolme seadmete demonteerimine,51798
EK,Sammuvate ekskavaatorite kabiinide remonditeenuse ostmine,51711
ER,Terastoodete ostmine,51669
NJ,Eesti elektrijaama vee ettevalmistusteenistuse keemilise veepuhastuse osakonna loigus koagulandi hoiumahuti nr 1 sisepinna keemiline kaitse,51620
EE,Fiiberoptiliste kaablite paigaldus,51510
JV,Turu 34b (Tartu) liitumine madalpingel (LP4682),51489
NJ,Eesti Elektrijaama tuhaarastusteenistuse Alstomi ladude soojustrassi loigu asendamine,51414
NJ,Hudraulilise ajami Sempell ostmine ,51357
JV,Tartumaa. Luunja vald. Kavastu kula. Parve poik 2 toostushoone 15 kV liitumine (LP4720. IL5345),51180
JV,Harjumaa. Rae vald. Jarvekula. Hansa tee eramute elektrivarustus (LP5063),51104
TO,Purchase of the spare parts for the Valka CHP steam turbine/ Valka koostootmisjaama turbiinile varuosade ostmine,51052
ER,Terase S355J2 ostmine.,50963
JV,Tartu linn. Tahe tn 106b maakaabli asendamine (TP0676),50890
EE,Esmaabi valjaoppe (16h) ja taiendoppe (6h) koolitus,50730
NJ,Sulgemisarmatuuri ostmine,50664
ER,Terastoodete ostmine,50592
EE,Autodeski tarkvara toe uuendamine uheks aastaks,50552
EE,Johvis aadressil Sompa 36/8 hoone kuttesusteemi rekonstrueerimine,50552
JV,Harjumaa. Saku vald. Tagadi kula. Leopere kinnistu peakaitsme nimivoolu suurendamine (LP5509/IP3521),50493
TO,SWAN mooteriistadele reaktiivide ja elektroodide ostmine,50463
ER,Terase S355J2+N ostmine,50410
ER,Teraste S690QL. Hardox400. S355J2 ostmine.,50301
EK,Kompressorite ostmine,50285
NJ,Eesti Elektrijaama ploki nr 6 vaavlipuhastuse kottfiltrite vaateluukide remont,50100
NJ,Termopaaride TESEI ostmine. 532 tk,50091
EK,Geodeetiliste mooteseadmete ostmine,71120
EE,Preliminary design for constructing wind turbine foundations in the Tolpanvaara Wind Farm,71120
ER,Raamlepingute solmimine puitmaterjalide ostmiseks,71117
JV,Parnumaa. Tori vald. Urge kula. Paikesejaamade liitumine elektrivorguga (LP5050/LP5611),70896
NJ,Katla TP-101 varuosade ostmine.,70877
EE,Serverite (3 tk) ost ,70866
EK,Keevitusseadmete ostmine,70739
ER,Raamlepingu solmimine tookinnaste ostmiseks,70565
EE,KORDUSHANGE! IRU elektrijaama labipaasususteemi rekonstrueerimine,70409
EE,Soiduki taisteenusliisingu hange (EEK),70381
EK,Kraapkettide ostmine,70104
EE,VMware litsentside tootetoe ostmine,70085
ER,Teraste ostmine,69988
NJ,Ekspertiisi labiviimine ning hoonete ja rajatiste renoveerimise tooprojekti koostamine,69850
JV,Harjumaa. Valdmae poik 2. 3. 5 toostushoone el. liitumine. Saku vald. LP4659. LP4796.,69847
JV,Saare maakond. Saaremaa vald. Poitse kula. Tooma-Lepiku liitumise tooprojekt (LP4798),69735
NJ,Spare parts for electric filter ELEX ,69581
EK,Reduktorite ostmine,69576
ER,Ventilatsioonitoode teostamine,69507
ER,Mahiste sektsioonide ostmine,69456
ER,Teraste S235JR ja S355J0 ostmine.,69399
JV,Hiiu maakond. Hiiumaa vald. Kidaste kula. Nommelille suvila liitumise tooprojekt (LP5255),69392
NJ,Compressor RBS-155 (Robuschi) -2 tk,69286
EE,Topo-geodeetilise alusplaani koostamine,69251
EK,Raudteeulesoidukohtade ehitusteenuse ostmine,69190
ER,Kraanateenuse osutamine,69088
ER,Terastoodete ostmine,68955
NJ,Enefit Energiatootmine AS-i paaslate automatiseerimine ,68910
EE,VMware litsentside ost ja upgrade 2016,68826
EK,Toorkummi ostmine,68616
NJ,Enefit 280 reaktori bandaa�ide pinna tootlus,68580
NJ,olitehase ruumide. hoonete ja rajatiste ventilatsiooni- ja konditsioneerimissusteemide tehniline hooldus ja remont,68575
EK,Estonia kaevanduse rikastusvabrikus soelurilt konveierile renni koos siibriga valmistamine ja paigaldus (pos. 898/1055. 898/895)  ,68504
NJ,Balti elektrijaamas 3000 m3 mahuga masuudimahuti sisepinna puhastamine,68504
ER,Terastoodete ostmine,68214
EK,Automaatse tulekustutussusteemi elektromagnetklappide ostmine,68072
NT,Eesti Energia Auvere kompleksi polevkivi uttegaasi bensiinifraktsiooni kondenseerimise ja vaavliuhendite eemaldamise seadme (GRU) ehitusloa hankimiseks vajaliku projekti koostamine,67882
JV,Harjumaa. Rae vald. Rae kula. Vaike-Rae tee 5. 7. 9 ja 11 kinnistute liitumine madalpingel (LP4628),67869
JV,Harju maakond. Rae vald. Jarvekula. Karusambla tee 1 elektrivarustus (LP5405),67675
NJ,Kettide tuup M315/M450 ja nende elementide ostmine,67399
ER,Raamlepingute solmimine keemiakaupade ostmiseks,66983
JV,Harjumaa. Maardu linn. Roobu 3 kinnistu peakaitsme suurendamine (LP5541),66980
NJ,Laadimisseadmega elektritostuki rent Eesti Elektrijaama kesklattu,66934
NJ,Hudromuhvi ostmine,66904
NJ,Balti Elektrijaama energiaploki nr 11 elektrifiltrite gaasi pihkumise korvaldamistood,66696
NJ,Toojalatsite ostmine,66640
ER,Terastoodete ostmine,66560
ER,Elektrikaablite ostmine.,66419
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,66358
EK,Pronksist valupukside ostmine,66294
NJ,Pumpade ja nende varuosade ostmine,66040
ER,Raamlepingu solmimine rahvusvaheliste standardsete autovedude teenuse ostmiseks,66015
EK,Raudteeremondi spetsiaalsete toovahendite ostmine,65974
NJ,Polevkivipurusti varuosade ostmine,65939
EE,Ventilatsiooni- ja jahutusseadmete hooldus ja remont,65673
NJ,Kettide tuup M450-A-200/R2x400 ostmine ,65654
EK,Plasttorude ja nende liitmikute ostmine,65211
EE,Repair and partial replacement of technological equipment in Raina boiler plant,64948
NT,Eesti Energia olitoostus AS-i mahutipargi territooriumil polevkivioli bensiinifraktsiooni puhastusploki tooprojekti koostamine,64770
EK,Lukksepa tooriistade ostmine,64770
JV,Saaremaa vald Laadjala kula Vindriku ja Oolu mu liitumisuhenduse ehitustood LP5876.LP5777,64585
ER,S690QL ja 40NiCrMo7 Teraste ostmine.,64445
ER,Terasvalutoodete ostmine,64389
EE,Tulemuuri tehnilise toe teenuse hange,64008
NJ,Tulekindla tellise ostmine,64008
EK,Raudteeulesoidukohtade remonditeenuse ostmine,63990
EE,Iru EJ peatootmishoone ja kesk pumpla katuste remonttood,63891
EE,Rehvihakke ost ,63746
NJ,Filtri elementide ostmine,63557
EK,Polevkivi laadimisestakaadi pikenduse ehitamine,63549
EE,Inglise keeleoppe kursus,63500
EK,Kahveltostukite varuosade ning remonditeenuse ostmine II,63500
NJ,Tulekindla segu ostmine ,63500
JV,Tartu. Kreutzwaldi 64 el. ehitustood peakaitsme vahendamiseks. LP4596.,63383
JV,Johvi linn. Johvi vald. Jaama tn 53a liitumine mp. LP4579. II1505.,63325
NJ,Korgekvaliteetse tehnilise vedela 100%-lise naatriumhudroksiidi ostmine,63284
NJ,Ioonivahetusvaigu ??-2-8 ostmine,62992
NT,Enefit 280 retordihoone varava vahetus telgedel B3-B4.1 olitoostus AS-is,62992
NJ,Enefit Energiatootmine ASi elektriseadmetele paigaldatud sagedusmuundurite tehniline hooldus ja remont,62865
NJ,Hingamiskaitsevahendite ostmine,62865
ER,Kaabel. Ostmine,62865
NJ,Turbiinioli TP-22S ostmine,62865
EK,Raudtee ulekaigukohtade remonditeenuse ostmine,62565
EE,MS Visual Studio litsentside tugiteenus,62278
EE,Iru elektrijaama turvaruumide renoveerimistood,62138
JV,Harjumaa. Saue vald. Laagri alevik. Suur-Kirsimae ja Vaike-Kirsimae kinnistute liitumine madalpingel (LP5059),62109
NJ,Enefit Energiatootmine ASi Enefit 280 paigaldise tsirkulatsioonivee lisapumba paigaldamise projekti koostamine ,61468
EE,JPP katla pesuri SCS-300 voolikute tarne,61366
JV,Tallinn. Pirita linnaosa. Vabaohukooli tee 82 ja 84 liitumine (LP5613),61356
NJ,Nivoomootmisseadmete IGEMA ostmine ,61351
EK,Vanditrosside ostmine,60960
